ILOC_CODE_2016,OH_R_Tot_DS_SH,OH_R_Tot_DS_SDRTHT,OH_R_Tot_DS_FA,OH_R_Tot_DS_OD_C,OH_R_Tot_DS_OD_CH,OH_R_Tot_DS_OD_IH_t_SO,OH_R_Tot_OD_HF_a_SO,OH_R_Tot_DS_OD_Tot,OH_R_Tot_DS_NS,OH_R_Tot_DS_Tot,OH_OTT_DS_SH,OH_OTT_DS_SDRTHT,OH_OTT_DS_FA,OH_OTT_DS_OD_C,OH_OTT_DS_OD_CH,OH_OTT_DS_OD_IH_t_SO,OH_OTT_OD_HF_a_SO,OH_OTT_DS_OD_Tot,OH_OTT_DS_NS,OH_OTT_DS_Tot,OH_T_NS_DS_SH,OH_T_NS_DS_SDRTHT,OH_T_NS_DS_FA,OH_T_NS_DS_OD_C,OH_T_NS_DS_OD_CH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_C,OH_Tot_DS_OD_CH,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FA,T_h_OO_DS_OD_C,T_h_OO_DS_OD_CH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FA,T_h_M_DS_OD_C,T_h_M_DS_OD_CH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FA,T_h_RREA_DS_OD_C,T_h_RREA_DS_OD_CH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FA,T_h_RHA_DS_OD_C,T_h_RHA_DS_OD_CH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FA,T_h_R_PSH_DS_OD_C,T_h_R_PSH_DS_OD_CH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FA,T_h_R_HCC_DS_OD_C,T_h_R_HCC_DS_OD_CH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FA,T_h_R_OLT_DS_OD_C,T_h_R_OLT_DS_OD_CH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FA,T_h_R_LNS_DS_OD_C,T_h_R_LNS_DS_OD_CH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FA,T_h_R_Tot_DS_OD_C,T_h_R_Tot_DS_OD_CH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FA,T_h_OTT_DS_OD_C,T_h_OTT_DS_OD_CH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FA,T_h_T_NS_DS_OD_C,T_h_T_NS_DS_OD_CH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FA,T_h_Tot_DS_OD_C,T_h_Tot_DS_OD_CH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
ILOC10100501,699,93,197,6,3,0,0,11,11,1013,10,0,9,0,0,0,0,0,3,25,86,4,12,0,0,0,0,0,0,103,2805,130,253,10,3,3,5,20,28,3235,1118,27,24,3,0,5,3,8,6,1186,1070,7,5,0,0,0,0,0,3,1087,393,58,133,0,0,0,3,6,3,589,138,14,45,0,0,0,0,0,0,197,296,11,27,0,0,0,0,0,4,336,9,5,16,0,0,0,0,0,3,34,24,3,7,6,0,0,0,7,3,45,20,0,0,0,0,0,0,0,0,28,883,101,223,6,3,0,3,12,11,1232,19,0,9,0,0,0,0,0,3,32,109,4,14,0,0,0,0,0,4,131,3195,138,273,6,3,6,9,23,31,3666
ILOC10100502,154,4,8,0,0,0,0,0,4,167,10,0,0,0,0,0,0,0,0,7,32,0,0,0,0,0,0,0,0,37,1091,5,10,3,4,3,0,5,12,1122,573,0,0,0,3,0,0,8,9,587,378,0,0,0,0,0,0,0,3,386,22,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,3,113,0,0,0,0,0,0,0,0,116,7,3,8,0,0,0,0,0,0,16,27,0,0,0,0,0,0,0,0,29,13,0,0,0,0,0,0,0,3,17,178,8,9,0,0,0,0,0,4,195,12,0,0,0,0,0,0,0,0,13,36,0,0,0,0,0,0,0,0,41,1183,10,10,6,8,3,0,14,12,1225
ILOC10100503,37,0,0,0,0,0,4,4,0,42,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,201,0,0,0,0,0,11,11,0,214,132,0,0,0,0,0,3,3,0,142,53,0,0,0,0,0,0,0,0,51,15,0,6,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,13,29,0,0,0,0,0,0,0,0,32,17,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,7,86,0,6,0,0,0,4,4,0,97,3,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,18,290,0,6,0,0,0,11,11,6,310
ILOC10100601,176,6,24,0,0,0,0,3,0,213,6,0,0,0,0,0,0,0,0,10,27,0,4,0,0,0,0,0,0,32,785,6,32,7,0,0,0,5,6,848,414,0,6,6,0,0,0,6,3,432,219,0,0,0,0,0,0,0,4,223,27,3,6,0,0,0,0,0,0,40,31,0,0,0,0,0,0,0,0,31,113,0,5,0,0,0,0,0,0,122,19,0,13,0,0,0,0,0,3,30,60,0,5,0,0,0,0,0,0,59,17,0,0,0,0,0,0,0,0,21,267,6,28,0,0,0,0,6,0,310,11,0,0,0,0,0,0,0,0,12,30,0,5,0,0,0,0,0,0,39,942,6,39,6,0,0,0,8,8,1013
ILOC10100701,180,22,27,0,3,0,0,5,3,228,3,0,0,0,0,0,0,0,0,6,17,3,0,3,0,0,0,3,3,24,720,43,27,4,4,0,7,12,16,816,365,10,0,0,0,0,3,3,3,382,193,9,3,0,0,0,0,0,4,209,103,6,26,0,0,0,0,3,0,146,63,0,3,0,0,0,0,0,0,62,80,0,3,0,0,0,0,0,0,88,12,13,0,0,0,0,0,0,0,18,11,0,4,0,3,0,0,3,0,19,5,0,0,0,0,0,0,0,0,13,278,24,41,0,3,0,3,4,3,350,3,0,0,0,0,0,0,0,0,6,24,4,0,3,0,0,0,3,3,29,869,45,44,5,4,0,9,16,16,981
ILOC10100702,314,3,16,0,3,0,0,7,7,338,28,0,0,0,0,0,0,0,0,32,68,0,3,3,0,0,0,3,0,73,1784,6,13,11,6,0,7,23,28,1859,973,0,0,10,0,0,4,16,15,1009,488,0,0,0,0,0,0,0,11,499,51,0,0,0,0,0,0,0,0,58,19,0,3,0,0,0,0,0,0,19,193,0,13,0,0,0,0,0,4,207,3,0,0,0,0,0,0,0,0,4,75,3,0,0,3,0,0,4,3,91,41,0,0,0,0,0,0,0,0,41,386,3,23,0,3,0,0,9,7,422,28,0,0,0,0,0,0,0,0,32,74,0,3,3,0,0,0,3,0,83,1957,6,25,10,6,0,9,24,30,2042
ILOC10100801,218,41,24,0,0,0,27,28,4,320,3,0,0,0,0,0,4,4,0,15,37,0,0,0,0,0,6,4,0,51,1044,59,27,3,0,0,103,108,10,1250,562,8,0,0,0,0,47,52,3,626,377,0,0,0,0,0,38,38,0,423,237,26,8,0,0,0,21,21,0,294,77,11,0,0,0,0,0,0,0,88,88,4,0,0,0,0,12,12,0,112,28,17,15,0,0,0,0,0,0,58,12,5,3,0,0,0,3,9,3,23,6,3,3,0,0,0,0,0,0,12,450,64,30,0,0,0,43,45,4,591,5,0,0,0,0,0,4,4,0,16,54,3,3,0,0,3,10,13,0,75,1449,81,39,3,0,3,137,140,10,1720
ILOC10100802,154,0,0,0,0,0,4,4,7,162,11,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,3,6,0,36,1058,0,0,9,3,3,80,92,14,1163,581,0,0,3,3,0,40,45,4,629,374,0,0,3,0,0,35,39,3,409,45,0,0,0,0,0,4,4,0,53,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,9,9,3,96,12,0,0,0,0,0,0,0,0,16,25,0,0,0,0,0,0,0,3,30,22,0,0,0,0,0,0,0,0,22,211,0,0,0,0,0,11,11,7,224,12,0,0,0,0,0,0,0,0,12,39,0,0,0,0,0,3,6,0,38,1208,0,0,9,3,3,87,95,14,1316
ILOC10200101,1748,632,393,0,6,3,8,18,30,2815,49,3,9,0,0,0,0,0,6,69,138,26,22,0,3,0,0,5,8,200,6757,808,453,11,13,3,14,38,68,8110,2767,90,14,5,3,0,6,9,17,2911,2199,48,16,0,0,0,0,4,7,2267,1206,540,251,0,0,3,5,6,21,2027,259,94,111,0,0,0,0,0,0,456,446,53,45,0,4,0,0,4,13,556,53,11,35,0,0,0,0,0,0,98,81,6,3,0,3,0,0,4,4,97,49,9,0,0,0,0,0,3,0,63,2089,710,447,0,7,3,6,23,35,3305,54,3,9,0,0,0,0,0,6,71,160,30,24,0,3,0,0,5,8,228,7275,888,509,6,14,3,9,40,70,8779
ILOC10200201,627,27,96,0,3,0,3,4,10,763,28,0,0,0,0,0,0,0,0,32,110,0,9,0,3,0,0,3,11,130,2961,36,114,12,12,5,7,32,52,3188,1409,3,9,8,4,5,3,24,18,1465,875,3,0,0,0,0,3,3,13,891,385,22,61,0,0,0,0,0,3,478,58,3,0,0,0,0,0,0,5,69,204,0,19,0,0,0,0,3,0,227,18,0,17,0,0,0,0,0,0,34,35,0,4,0,7,0,0,7,3,47,33,0,3,0,0,0,0,0,0,41,734,27,108,0,6,0,3,9,13,889,28,0,0,0,0,0,0,0,0,32,120,0,9,0,3,0,0,3,10,147,3174,36,128,14,11,5,7,34,57,3427
ILOC10200301,559,83,163,0,5,0,3,9,13,816,10,15,0,0,0,0,0,0,0,25,70,8,7,0,0,0,0,0,3,93,2203,135,201,3,3,0,7,17,19,2575,930,33,19,0,0,0,3,7,0,993,789,3,6,0,0,0,3,3,9,816,496,70,126,0,5,0,4,4,3,708,90,3,29,0,0,0,0,0,3,126,158,8,23,0,0,0,6,6,3,192,24,9,8,0,0,0,0,0,0,41,28,3,7,0,0,0,0,0,3,38,22,3,3,0,0,0,0,0,0,30,818,95,203,0,5,0,3,12,13,1135,13,15,0,0,0,0,0,0,0,25,82,13,14,0,0,0,0,0,3,114,2635,157,241,5,3,0,9,17,22,3075
ILOC10200302,241,0,0,0,3,0,0,7,4,250,9,0,0,0,0,0,0,0,0,12,25,0,0,0,0,0,0,0,0,29,1275,0,0,4,3,0,3,16,7,1297,560,0,0,3,0,0,0,8,0,568,525,0,0,0,0,0,0,3,4,539,86,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,3,0,68,33,0,0,0,0,0,0,0,0,31,287,0,0,0,3,0,0,7,5,299,14,0,0,0,0,0,0,0,0,13,34,0,0,0,0,0,0,0,0,37,1424,0,0,4,8,0,5,16,10,1454
ILOC10200401,302,12,21,0,0,0,0,7,3,340,14,0,0,0,0,0,0,0,0,14,42,0,0,0,0,0,0,0,0,38,1343,18,28,5,3,4,4,14,8,1410,616,3,0,4,0,0,0,6,4,632,416,3,0,0,0,0,3,6,3,425,144,8,11,0,0,0,0,0,0,170,11,0,0,0,0,0,0,0,0,18,115,3,4,0,0,0,0,4,0,127,12,0,0,0,0,0,0,0,0,14,52,0,0,0,0,0,0,0,0,55,27,0,0,0,0,0,0,0,0,27,364,13,23,0,0,0,0,7,3,409,14,0,0,0,0,0,0,0,0,14,45,0,0,0,0,0,0,0,0,44,1460,21,31,5,3,4,4,14,10,1530
ILOC10200402,7,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,88,0,6,0,0,0,0,3,0,98,70,0,0,0,0,0,0,3,0,77,32,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,5,16,0,6,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,0,3,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,146,0,3,0,0,0,0,4,0,151
ILOC10200501,390,20,16,3,0,0,0,6,0,429,23,0,0,0,0,0,0,0,0,27,63,0,3,0,0,0,0,4,0,72,1719,21,24,25,4,4,0,35,7,1802,913,3,3,20,0,5,0,23,3,942,403,0,0,3,0,0,0,3,3,406,104,8,8,0,0,0,0,0,0,115,3,3,7,0,0,0,0,0,0,14,178,8,0,0,0,0,0,0,0,186,5,0,3,0,0,0,0,0,0,12,104,0,0,0,0,0,3,3,0,106,61,0,0,0,0,0,0,0,0,59,445,20,20,3,0,0,4,6,0,489,30,0,0,0,0,0,0,0,0,29,64,0,4,0,0,0,0,4,0,76,1858,21,26,22,4,8,4,38,7,1951
