ILOC_CODE_2016,M_0_4_Has_need_for_assist,M_0_4_Does_not_need_assist,M_0_4_Need_for_assistance_ns,M_0_4_Tot,M_5_14_Has_need_for_assist,M_5_14_Does_not_need_assist,M_5_14_Need_for_assistance_ns,M_5_14_Tot,M_15_19_Has_need_for_assist,M_15_19_Does_not_need_assist,M_15_19_Need_for_assist_ns,M_15_19_Tot,M_20_24_Has_need_for_assist,M_20_24_Does_not_need_assist,M_20_24_Need_for_assist_ns,M_20_24_Tot,M_25_34_Has_need_for_assist,M_25_34_Does_not_need_assist,M_25_34_Need_for_assist_ns,M_25_34_Tot,M_35_44_Has_need_for_assist,M_35_44_Does_not_need_assist,M_35_44_Need_for_assist_ns,M_35_44_Tot,M_45_54_Has_need_for_assist,M_45_54_Does_not_need_assist,M_45_54_Need_for_assist_ns,M_45_54_Tot,M_55_64_Has_need_for_assist,M_55_64_Does_not_need_assist,M_55_64_Need_for_assist_ns,M_55_64_Tot,M_65_over_Has_need_for_assist,M_65ov_Does_not_need_assist,M_65_over_Need_for_assist_ns,M_65_over_Tot,M_Tot_Has_need_for_assist,M_Tot_Does_not_need_assist,M_Tot_Need_for_assist_ns,M_Tot_Tot,F_0_4_Has_need_for_assist,F_0_4_Does_not_need_assist,F_0_4_Need_for_assistance_ns,F_0_4_Tot,F_5_14_Has_need_for_assist,F_5_14_Does_not_need_assist,F_5_14_Need_for_assistance_ns,F_5_14_Tot,F_15_19_Has_need_for_assist,F_15_19_Does_not_need_assist,F_15_19_Need_for_assist_ns,F_15_19_Tot,F_20_24_Has_need_for_assist,F_20_24_Does_not_need_assist,F_20_24_Need_for_assist_ns,F_20_24_Tot,F_25_34_Has_need_for_assist,F_25_34_Does_not_need_assist,F_25_34_Need_for_assist_ns,F_25_34_Tot,F_35_44_Has_need_for_assist,F_35_44_Does_not_need_assist,F_35_44_Need_for_assist_ns,F_35_44_Tot,F_45_54_Has_need_for_assist,F_45_54_Does_not_need_assist,F_45_54_Need_for_assist_ns,F_45_54_Tot,F_55_64_Has_need_for_assist,F_55_64_Does_not_need_assist,F_55_64_Need_for_assist_ns,F_55_64_Tot,F_65ov_Has_need_for_assist,F_65ov_Does_not_need_assist,F_65_over_Need_for_assist_ns,F_65_over_Tot,F_Tot_Has_need_for_assist,F_Tot_Does_not_need_assist,F_Tot_Need_for_assist_ns,F_Tot_Tot,P_0_4_Has_need_for_assist,P_0_4_Does_not_need_assist,P_0_4_Need_for_assistance_ns,P_0_4_Tot,P_5_14_Has_need_for_assist,P_5_14_Does_not_need_assist,P_5_14_Need_for_assistance_ns,P_5_14_Tot,P_15_19_Has_need_for_assist,P_15_19_Does_not_need_assist,P_15_19_Need_for_assist_ns,P_15_19_Tot,P_20_24_Has_need_for_assist,P_20_24_Does_not_need_assist,P_20_24_Need_for_assist_ns,P_20_24_Tot,P_25_34_Has_need_for_assist,P_25_34_Does_not_need_assist,P_25_34_Need_for_assist_ns,P_25_34_Tot,P_35_44_Has_need_for_assist,P_35_44_Does_not_need_assist,P_35_44_Need_for_assist_ns,P_35_44_Tot,P_45_54_Has_need_for_assist,P_45_54_Does_not_need_assist,P_45_54_Need_for_assist_ns,P_45_54_Tot,P_55_64_Has_need_for_assist,P_55_64_Does_not_need_assist,P_55_64_Need_for_assist_ns,P_55_64_Tot,P_65_over_Has_need_for_assist,P_65_ov_Does_not_need_assist,P_65_over_Need_for_assist_ns,P_65_over_Tot,P_Tot_Has_need_for_assist,P_Tot_Does_not_need_assist,P_Tot_Need_for_assist_ns,P_Tot_Tot
ILOC10100501,3,73,5,80,15,113,3,132,6,59,0,59,0,44,0,47,4,54,4,64,0,34,0,33,9,29,0,44,0,26,4,34,9,10,0,15,48,443,17,502,0,67,3,72,6,101,3,108,3,53,0,64,0,47,0,47,3,63,0,65,3,48,0,49,4,38,0,39,9,34,3,42,13,12,0,25,42,454,14,517,3,139,6,150,21,212,6,245,8,108,4,126,5,92,0,97,6,118,4,128,4,76,3,81,15,66,0,82,8,59,3,73,23,21,0,41,88,898,30,1020
ILOC10100502,0,8,0,8,0,24,0,23,0,7,0,7,0,10,0,10,0,9,0,11,0,3,0,7,3,18,0,24,0,6,0,7,3,4,0,10,11,89,3,103,0,11,0,11,0,14,0,15,0,8,0,14,0,10,0,10,0,10,0,8,0,6,0,6,0,14,3,12,3,6,0,8,3,3,0,14,8,83,3,102,0,22,0,22,0,39,0,40,0,14,0,21,0,13,0,13,0,17,0,23,0,12,0,16,4,34,3,39,5,11,0,17,10,8,3,15,21,174,7,203
ILOC10100503,0,6,0,9,3,18,3,23,0,17,0,16,0,15,4,13,0,3,0,3,0,6,0,15,0,16,0,16,3,9,0,7,5,0,0,9,14,85,7,111,0,12,3,14,0,21,3,22,0,12,0,9,0,10,0,12,0,11,0,11,0,17,0,17,3,8,0,13,0,10,0,13,3,10,0,7,10,103,4,120,3,16,3,23,3,40,6,49,0,28,0,30,0,20,4,28,0,11,0,14,0,21,0,29,3,22,0,22,3,17,0,19,3,12,0,20,23,188,12,227
ILOC10100601,0,25,0,25,0,34,0,35,3,23,0,25,0,22,0,21,0,19,0,17,0,16,0,19,0,11,0,12,3,12,0,14,3,15,0,18,15,176,11,196,0,21,3,21,0,34,0,36,0,24,3,24,0,13,3,15,0,21,0,21,0,25,0,29,3,22,0,25,0,11,0,14,0,7,0,12,13,176,11,199,0,52,3,50,3,66,4,73,3,47,3,49,0,33,3,34,0,37,0,40,0,45,0,43,4,31,0,34,3,26,4,30,5,28,3,31,26,353,17,393
ILOC10100701,0,18,0,17,0,44,0,42,0,17,0,20,0,23,0,28,0,20,0,22,0,9,0,9,5,20,0,29,3,14,3,16,4,4,0,9,12,175,5,193,0,17,0,18,0,52,0,54,0,16,0,16,0,11,0,11,0,17,3,25,3,14,0,17,0,27,0,32,5,12,3,20,6,17,0,19,12,181,12,209,0,32,0,37,3,93,0,99,0,34,0,32,0,37,0,36,0,39,3,43,3,23,0,28,7,50,0,53,5,25,3,35,10,24,0,33,27,361,17,399
ILOC10100702,0,19,0,21,3,52,4,52,0,31,0,28,0,9,0,9,3,14,0,20,0,15,0,15,4,20,0,18,4,19,0,27,0,12,4,15,11,180,9,208,0,18,0,22,0,55,0,58,0,12,0,14,0,10,0,9,0,22,0,22,3,16,0,23,7,17,3,25,3,17,0,21,3,7,0,14,23,185,5,214,0,36,0,36,6,100,3,108,0,43,0,43,0,22,0,18,6,35,0,45,3,37,0,39,5,37,3,43,4,38,0,49,4,17,4,27,37,369,15,419
ILOC10100801,0,73,8,78,3,121,4,133,0,66,3,64,3,53,0,56,0,60,0,58,3,48,0,46,9,49,3,66,7,34,3,43,4,32,0,39,30,525,28,581,0,81,6,89,3,105,0,105,0,42,0,48,0,61,4,66,0,56,5,58,0,59,0,65,7,52,3,67,5,47,0,52,14,28,0,42,33,534,25,592,0,153,12,163,6,225,4,243,0,110,7,113,7,111,6,125,4,113,5,119,0,107,0,110,16,105,6,131,16,79,8,97,17,56,5,74,64,1060,48,1179
ILOC10100802,0,22,0,22,3,51,0,59,0,22,16,37,0,10,73,83,0,19,147,169,0,16,62,78,6,10,20,37,4,19,3,30,6,4,0,8,12,179,325,519,0,12,0,12,4,33,0,37,0,21,4,25,0,10,5,13,0,21,19,44,0,19,9,26,5,17,3,27,3,8,3,20,0,9,3,14,15,151,52,216,0,32,0,32,8,81,0,93,0,47,22,65,0,20,76,95,0,40,168,211,0,33,71,105,3,32,28,60,8,29,9,44,3,17,3,21,25,337,375,738
ILOC10200101,4,104,4,113,8,177,10,197,5,86,0,93,6,77,3,84,5,87,3,96,3,73,3,78,14,76,3,86,10,49,0,58,11,36,0,40,66,763,25,847,0,104,5,108,5,185,7,197,0,95,3,94,4,96,3,103,3,107,3,106,3,81,10,88,10,76,5,88,12,52,0,63,11,26,3,40,52,816,31,902,4,209,8,223,15,364,18,392,5,177,3,187,11,169,6,189,9,196,3,203,11,149,7,171,24,148,9,177,25,105,0,126,21,58,3,87,118,1575,56,1753
ILOC10200201,0,34,0,38,5,47,7,58,0,19,0,25,0,18,0,20,3,18,14,42,3,16,18,34,6,26,15,40,0,21,3,26,4,8,0,16,24,209,59,290,0,30,3,31,7,55,0,60,0,22,0,22,0,17,0,15,0,22,0,25,3,16,0,20,5,20,0,25,7,26,0,28,5,12,0,23,20,216,7,245,0,63,4,69,12,95,11,116,0,38,0,45,0,32,3,38,7,41,14,64,3,35,18,53,4,49,10,64,6,44,3,58,12,24,3,38,42,426,66,534
ILOC10200301,3,107,6,112,17,123,6,150,5,54,0,58,0,38,0,41,3,73,5,79,0,45,3,45,3,39,0,44,4,26,3,37,8,22,3,29,42,523,32,598,0,72,6,78,0,122,5,135,4,47,3,55,0,44,3,52,3,81,3,83,3,50,3,56,4,56,0,56,7,32,3,48,11,26,3,41,28,543,31,601,3,175,7,192,19,250,18,287,12,107,3,118,0,86,3,89,3,150,12,169,4,95,9,103,4,97,0,99,11,62,5,77,15,51,4,66,69,1066,64,1198
ILOC10200302,0,23,3,24,0,43,0,49,0,23,0,23,0,10,0,16,0,20,0,18,0,7,0,9,0,14,0,18,4,21,0,21,3,8,0,9,10,173,8,193,0,16,0,15,0,36,4,35,0,18,0,20,0,12,3,14,0,10,0,10,0,21,0,24,3,21,0,26,0,17,0,21,3,12,0,12,10,164,6,179,0,38,3,41,3,78,3,84,0,41,0,43,0,23,3,30,0,30,0,30,0,35,0,37,3,38,4,43,4,38,0,43,3,23,0,25,18,332,17,369
ILOC10200401,0,21,0,21,0,33,0,38,0,17,3,20,3,8,0,13,0,18,3,19,0,12,0,12,0,8,0,15,0,10,0,10,0,8,0,13,6,137,5,152,0,19,0,19,0,27,0,29,0,10,0,10,0,8,0,8,0,16,0,20,0,14,0,16,0,21,0,21,3,7,0,11,0,11,0,11,9,133,4,147,0,43,0,43,0,62,5,68,0,25,3,31,3,16,0,20,0,36,3,39,0,26,0,32,0,27,0,28,3,15,0,22,3,22,0,22,13,268,8,299
ILOC10200402,0,13,0,13,0,15,0,18,0,11,0,9,0,6,0,7,3,5,3,13,0,4,0,9,0,5,0,4,0,7,0,7,0,4,0,7,4,76,4,81,0,4,0,4,0,19,0,17,0,7,0,7,0,4,0,4,0,4,0,4,0,5,3,8,0,3,0,3,0,6,0,6,0,3,0,6,0,64,4,71,0,10,0,17,0,37,0,39,0,19,0,17,0,6,0,7,3,11,3,19,0,14,3,17,0,11,0,10,0,14,0,14,0,6,0,9,8,140,7,152
ILOC10200501,3,19,0,21,0,32,4,34,0,14,0,16,0,14,0,10,0,12,0,14,0,11,0,10,3,16,0,14,5,9,0,10,4,10,0,15,17,132,4,156,0,20,0,23,0,35,3,43,0,19,0,17,0,12,0,14,0,4,0,8,3,17,0,16,3,4,0,9,0,6,3,7,3,3,0,10,11,124,11,141,3,40,3,40,4,66,3,74,3,31,0,34,0,24,0,27,0,25,3,25,3,24,0,30,5,23,0,24,5,13,3,17,5,17,0,23,31,257,14,300
ILOC10200502,3,84,4,85,16,160,12,189,5,71,5,83,0,54,3,58,4,57,0,65,5,45,5,55,11,57,3,69,9,42,3,54,9,24,0,32,64,588,38,691,0,89,6,97,9,134,7,147,3,72,3,76,0,65,3,67,3,74,4,85,3,64,0,70,12,58,3,75,7,39,0,49,8,37,3,51,48,639,35,721,3,168,4,180,24,293,19,329,7,145,12,161,0,120,8,124,9,135,4,151,7,110,4,125,19,115,4,146,18,81,3,100,18,63,4,86,115,1228,68,1408
ILOC10200601,0,12,0,12,0,25,3,27,0,4,0,4,0,9,0,6,0,5,0,5,0,5,0,12,0,6,0,6,4,7,0,7,0,3,0,3,4,83,7,90,0,13,0,13,0,17,0,17,0,5,0,5,0,3,0,3,0,6,0,6,3,10,0,10,0,12,0,13,0,3,0,3,0,11,0,11,0,79,0,77,0,23,0,23,0,39,3,43,0,12,0,12,0,13,0,17,0,16,0,16,4,18,0,23,0,19,0,18,4,13,0,10,0,12,0,13,7,156,7,173
ILOC10200602,0,19,0,24,0,33,3,35,0,20,0,20,0,20,0,20,0,21,0,21,0,23,3,29,0,15,0,19,0,18,0,21,3,5,0,11,7,181,11,197,0,19,0,20,0,41,0,41,0,27,0,28,0,14,0,14,0,24,0,26,0,23,0,23,0,23,0,24,0,16,0,22,4,14,0,25,14,199,0,214,0,40,0,39,0,73,3,70,0,46,0,48,0,27,0,27,0,48,0,50,0,42,3,52,3,38,0,44,0,37,0,44,6,25,0,38,20,383,8,414
ILOC10200603,0,5,0,5,0,6,0,6,0,4,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,7,0,4,0,4,0,0,0,3,0,43,0,42,0,4,0,4,0,9,0,9,0,0,0,0,0,6,0,6,0,0,0,0,0,7,0,7,0,6,0,6,0,3,0,3,0,0,0,6,4,38,0,44,0,10,0,10,0,19,0,19,0,9,0,9,0,8,0,5,0,3,0,3,0,7,0,7,0,17,0,17,0,14,0,14,3,3,0,4,5,83,0,87
ILOC10200604,0,13,3,15,4,29,0,33,0,5,0,6,0,9,0,9,3,17,3,24,0,12,0,15,3,17,0,15,5,6,0,10,0,17,3,17,21,129,6,155,0,13,0,11,0,26,0,25,0,15,0,15,0,13,0,16,0,9,0,9,0,20,0,16,6,8,0,13,0,13,0,13,3,16,0,23,8,121,4,142,0,22,5,29,4,51,0,57,0,26,0,28,0,23,0,19,3,27,3,30,0,34,0,36,10,22,0,31,5,18,0,21,9,28,5,37,30,246,10,295
ILOC10200701,0,15,0,15,3,25,6,34,0,12,0,12,0,14,0,14,0,24,0,22,0,23,3,28,4,13,3,16,3,10,0,16,4,12,0,16,13,143,11,175,0,19,0,19,0,33,0,36,0,13,0,9,0,20,0,21,0,27,0,27,0,15,0,15,0,27,0,29,3,14,0,18,8,10,0,23,17,172,3,188,0,33,0,33,4,58,7,65,0,21,0,25,0,33,0,32,0,47,0,46,0,37,3,39,4,39,3,44,6,25,0,30,12,18,0,38,28,317,15,365
ILOC10200702,0,63,8,67,3,92,8,104,4,49,3,55,0,35,3,37,0,52,10,61,8,44,0,50,4,50,4,57,8,40,0,47,11,23,0,28,37,445,29,511,0,61,13,76,0,98,9,111,3,37,0,37,4,45,3,56,3,57,4,67,3,70,4,79,4,76,5,80,8,33,0,47,10,24,0,38,34,510,46,590,0,122,21,147,9,193,13,213,9,90,0,97,3,82,4,94,5,115,12,132,8,110,6,130,11,125,5,141,17,72,3,94,24,46,3,67,80,953,73,1105
ILOC10200703,0,5,3,12,0,14,0,17,0,3,0,3,0,10,0,10,0,7,3,11,0,12,0,9,0,12,0,12,0,3,0,9,0,5,0,5,3,75,3,89,0,18,0,18,0,21,0,17,0,10,0,10,0,0,0,0,0,15,3,20,0,16,0,17,0,12,0,16,0,7,0,7,3,3,0,6,3,96,9,102,0,24,3,24,3,36,0,38,0,11,0,11,0,12,0,13,0,24,5,28,0,28,0,26,0,22,0,22,0,10,0,14,3,13,0,11,11,176,13,194
ILOC10200704,0,4,0,6,3,20,5,25,3,12,0,8,0,13,0,18,0,10,0,10,0,11,0,11,0,20,0,20,0,5,0,5,0,8,0,6,6,101,12,114,0,6,0,9,0,31,3,30,0,15,0,17,0,7,0,7,0,8,0,8,0,17,3,22,0,18,4,24,0,15,0,19,0,5,0,11,4,126,12,135,0,12,0,16,0,48,4,61,3,21,0,28,0,24,0,26,0,16,0,16,0,32,3,34,0,38,3,42,0,23,0,20,3,16,3,14,13,222,20,250
ILOC10200801,0,10,0,10,0,29,3,35,0,24,3,28,0,14,0,14,0,17,4,20,0,17,0,18,3,15,0,22,0,7,0,7,6,3,0,11,10,140,14,161,0,19,0,20,0,40,0,44,0,20,0,20,0,15,3,14,0,10,3,15,0,16,0,17,0,18,3,22,0,11,0,14,7,9,0,15,7,168,13,185,0,29,0,30,0,72,4,80,0,47,3,49,0,28,3,31,0,25,7,38,0,33,0,31,3,34,5,42,0,24,0,25,12,16,0,27,16,307,29,347
ILOC10200802,0,9,0,9,3,30,0,32,0,7,0,13,0,7,0,10,0,19,0,19,0,18,0,18,0,15,0,15,0,10,0,18,4,5,0,11,12,128,0,137,0,5,0,10,0,36,0,34,0,7,0,7,0,5,0,4,0,18,0,18,0,12,0,12,0,18,0,18,0,12,0,13,0,8,0,8,3,123,0,128,0,21,0,24,3,63,0,70,0,18,0,22,3,10,0,12,0,39,0,39,0,26,0,26,0,26,0,26,0,28,0,27,4,10,0,19,12,251,3,266
ILOC10200803,0,5,0,4,0,15,0,15,0,3,0,3,0,0,0,0,0,8,0,8,0,4,0,3,0,9,0,9,0,3,0,4,0,3,0,3,3,47,3,52,0,4,3,6,0,19,4,22,0,9,0,4,0,3,0,3,0,0,0,0,0,5,0,7,3,8,0,12,0,3,0,0,0,0,0,0,3,55,5,64,0,9,3,9,0,31,6,35,0,11,0,10,0,6,0,6,0,10,0,10,0,6,0,11,3,15,0,14,4,5,0,12,0,3,0,4,3,102,11,119
ILOC10200804,0,11,4,14,0,25,0,25,0,14,0,14,0,9,0,10,0,9,0,9,0,10,0,10,0,4,0,9,0,4,0,3,0,4,0,4,5,86,3,93,0,14,0,17,0,20,0,19,0,12,0,10,0,14,0,14,0,13,0,13,0,17,0,20,0,9,0,9,0,6,0,6,3,0,0,4,4,100,6,113,0,19,3,27,0,44,3,45,0,22,0,20,0,22,0,19,0,24,0,24,0,27,0,29,0,16,0,21,0,5,0,9,4,5,0,11,8,187,10,204
ILOC10200901,8,55,4,67,15,119,4,140,3,51,0,54,7,47,0,52,3,57,0,62,4,39,0,39,3,40,0,44,7,23,0,23,3,11,0,19,47,444,8,495,0,55,0,58,9,99,5,111,0,38,4,44,0,36,0,43,4,66,3,68,7,44,0,47,10,57,0,66,0,29,0,30,10,6,0,13,35,439,14,485,8,110,3,123,19,218,6,253,3,92,4,101,6,82,3,92,6,122,3,129,7,83,0,91,10,100,0,111,5,50,0,53,10,23,0,29,79,874,25,976
ILOC10200902,0,28,0,28,4,33,0,42,0,12,0,12,0,9,3,17,0,24,11,34,0,11,10,17,0,14,13,28,0,3,0,6,4,8,0,10,15,141,32,185,0,31,0,31,4,40,3,47,0,8,0,14,0,15,0,17,0,22,0,21,0,15,0,15,0,19,0,21,0,7,0,12,5,3,0,8,10,160,3,179,0,54,0,54,10,76,3,81,0,18,0,25,0,22,3,27,0,45,17,56,0,24,10,35,0,35,13,48,3,16,0,15,4,6,0,16,26,301,38,361
ILOC10201001,0,50,3,52,5,81,0,89,0,36,0,36,0,30,4,30,0,36,3,39,3,32,0,32,3,20,0,24,6,27,0,27,4,3,0,11,17,308,8,340,0,55,3,57,3,95,0,93,0,19,0,19,0,32,0,28,3,61,0,60,0,29,0,30,3,35,0,31,5,25,0,30,4,20,0,26,23,359,10,390,0,102,3,105,3,176,0,182,0,57,0,57,0,57,3,60,3,97,3,100,5,60,0,69,3,48,0,59,14,46,0,58,13,23,6,38,46,669,22,728
