ILOC_CODE_2016,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
ILOC10100801,11,48,9,64,0,51,3,56,3,51,0,58,7,38,0,46,7,44,7,66,5,31,3,43,0,30,10,39,38,292,30,368,7,32,11,48,6,56,3,66,12,44,3,58,14,52,0,65,22,39,5,67,15,41,3,52,3,30,5,42,75,301,28,398,12,80,18,113,11,103,4,125,14,100,3,119,17,91,4,110,30,90,15,131,14,75,6,97,9,59,10,74,113,595,60,769
ILOC10100802,0,17,19,37,5,6,73,83,5,15,147,169,0,14,64,78,0,11,25,37,3,24,3,30,0,8,0,8,15,99,327,446,0,19,3,25,0,6,3,13,3,16,26,44,5,15,9,26,3,20,3,27,7,12,0,20,7,4,0,14,21,99,51,171,0,39,25,65,3,16,75,95,5,37,167,211,9,33,74,105,7,30,28,60,9,34,5,44,7,13,3,21,34,199,379,616
ILOC10200101,9,79,5,93,11,71,6,84,9,88,5,96,4,63,12,78,13,74,4,86,7,46,7,58,8,31,3,40,52,449,44,544,3,89,5,94,14,78,5,103,24,82,5,106,12,65,11,88,19,58,18,88,9,46,13,63,5,29,4,40,90,444,61,592,9,160,12,187,24,152,14,189,31,170,12,203,20,129,23,171,27,128,25,177,12,100,13,126,13,64,9,87,134,897,104,1137
ILOC10200201,0,17,0,25,4,17,0,20,0,26,18,42,0,17,13,34,3,27,15,40,7,20,0,26,0,9,0,16,15,134,45,198,0,14,0,22,3,14,0,15,3,14,3,25,6,14,0,20,11,15,3,25,3,24,0,28,0,17,3,23,31,118,8,153,0,39,3,45,4,27,0,38,7,38,19,64,6,29,13,53,8,41,14,64,10,48,0,58,4,32,5,38,49,252,56,357
ILOC10200301,0,51,11,58,4,37,3,41,9,63,5,79,8,30,6,45,7,37,7,44,5,27,5,37,0,22,4,29,34,261,42,337,0,48,0,55,10,40,3,52,21,64,0,83,9,46,3,56,21,32,5,56,10,30,4,48,3,33,7,41,71,297,20,394,0,102,11,118,14,74,3,89,28,133,6,169,20,74,6,103,21,70,10,99,16,56,11,77,10,58,6,66,102,563,59,724
ILOC10200302,0,23,4,23,0,11,0,16,5,19,0,18,3,5,0,9,0,17,0,18,3,20,3,21,0,11,0,9,7,101,12,123,0,15,0,20,4,14,3,14,5,8,0,10,0,18,3,24,4,21,0,26,7,15,0,21,0,12,0,12,20,94,7,123,0,34,3,43,4,21,3,30,7,25,0,30,3,29,5,37,4,37,0,43,3,31,3,43,0,24,0,25,24,201,18,240
ILOC10200401,3,14,4,20,0,10,0,13,0,19,3,19,0,12,0,12,0,11,3,15,0,5,0,10,0,10,3,13,4,76,11,91,0,8,0,10,0,13,0,8,0,16,0,20,4,9,0,16,5,12,0,21,3,10,0,11,0,8,3,11,16,76,3,98,0,22,4,31,0,16,0,20,0,36,3,39,5,22,0,32,5,21,4,28,3,12,0,22,0,19,4,22,20,151,18,186
ILOC10200402,0,12,3,9,0,5,0,7,0,9,0,13,4,3,0,9,0,9,0,4,0,9,0,7,0,3,3,7,4,42,11,58,0,5,0,7,3,4,0,4,0,3,0,4,0,5,0,8,4,3,0,3,0,3,0,6,0,3,3,6,7,29,11,46,0,14,3,17,3,6,0,7,0,13,0,19,3,7,3,17,4,9,3,10,0,14,0,14,0,4,8,9,8,72,18,100
ILOC10200501,3,10,0,16,3,8,0,10,0,15,3,14,0,10,0,10,3,12,0,14,3,9,3,10,0,11,0,15,13,79,4,94,0,16,0,17,3,9,0,14,5,5,0,8,9,11,0,16,3,5,0,9,0,5,0,7,0,7,0,10,18,56,3,86,4,24,3,34,5,21,0,27,3,21,3,25,9,22,0,30,4,23,0,24,3,12,3,17,3,18,0,23,28,134,10,178
ILOC10200502,6,66,11,83,7,38,9,58,10,51,8,65,5,46,3,55,8,57,4,69,5,46,4,54,0,31,4,32,47,324,44,416,7,56,11,76,7,57,0,67,12,67,3,85,18,53,3,70,15,57,9,75,11,36,6,49,15,33,8,51,83,358,46,483,11,118,28,161,13,101,14,124,23,119,11,151,27,97,7,125,23,112,6,146,15,80,7,100,14,59,14,86,127,680,86,894
ILOC10200601,0,4,0,4,0,3,0,6,0,4,0,5,0,11,0,12,0,9,0,6,3,3,0,7,0,4,0,3,10,42,7,53,0,3,0,5,0,3,0,3,3,4,0,6,0,10,0,10,5,11,0,13,0,3,0,3,3,6,3,11,10,39,7,54,0,11,3,12,0,12,3,17,4,10,0,16,0,21,0,23,6,13,0,18,5,5,0,10,3,9,0,13,19,79,10,103
ILOC10200602,0,18,7,20,0,13,3,20,3,21,0,21,3,22,3,29,4,15,3,19,5,15,3,21,0,7,0,11,14,110,19,144,0,21,0,28,0,8,0,14,0,26,0,26,9,15,0,23,0,21,3,24,5,11,0,22,0,15,8,25,18,117,16,155,0,39,13,48,0,23,3,27,6,42,0,50,11,32,3,52,4,30,5,44,12,27,7,44,0,25,5,38,33,225,32,294
ILOC10200603,0,4,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,7,0,4,0,4,0,3,0,3,0,32,0,29,0,0,0,0,0,6,0,6,0,0,0,0,3,4,0,7,0,3,0,6,0,3,0,3,0,0,0,6,6,21,0,27,0,9,0,9,0,5,0,5,0,3,0,3,3,10,0,7,0,14,0,17,0,10,0,14,0,5,0,4,7,56,0,60
ILOC10200604,0,6,0,6,3,8,0,9,3,15,0,24,3,16,0,15,3,16,0,15,3,5,0,10,7,9,5,17,16,81,6,106,4,9,3,15,0,7,7,16,3,12,0,9,3,17,0,16,6,6,0,13,4,11,0,13,3,17,4,23,22,72,13,100,4,16,4,28,4,17,7,19,6,30,0,30,3,28,0,36,7,23,3,31,9,18,0,21,9,23,9,37,35,154,17,209
ILOC10200701,0,8,3,12,4,9,5,14,0,24,0,22,5,12,3,28,0,13,0,16,0,10,0,16,0,15,0,16,14,98,9,122,0,13,0,9,0,17,3,21,3,16,3,27,0,12,0,15,9,18,0,29,3,16,5,18,5,17,0,23,21,102,14,140,3,19,3,25,3,24,4,32,3,41,3,46,5,31,8,39,7,34,3,44,5,24,5,30,3,28,0,38,35,200,26,259
ILOC10200702,3,45,13,55,0,32,3,37,0,46,12,61,10,35,9,50,6,46,3,57,3,37,6,47,3,26,3,28,32,268,46,343,3,26,8,37,7,47,5,56,4,49,10,67,13,54,6,79,22,53,10,80,12,28,10,47,0,25,4,38,58,289,58,400,9,71,19,97,10,76,8,94,12,98,22,132,22,95,13,130,31,102,13,141,13,62,17,94,3,54,9,67,89,557,100,745
ILOC10200703,0,4,0,3,3,10,0,10,0,7,3,11,3,9,0,9,0,11,0,12,0,4,0,9,0,5,0,5,3,50,3,59,0,10,0,10,0,3,0,0,6,15,3,20,5,12,3,17,6,7,0,16,0,3,0,7,0,7,0,6,17,48,4,72,0,10,0,11,4,11,0,13,6,20,3,28,6,19,6,26,6,21,0,22,0,5,3,14,0,15,0,11,20,99,9,129
ILOC10200704,0,13,0,8,0,17,0,18,3,4,0,10,0,9,0,11,3,20,4,20,0,5,0,5,0,8,0,6,9,72,4,85,0,16,0,17,0,7,0,7,0,7,0,8,0,12,4,22,3,16,4,24,0,16,0,19,0,4,0,11,8,77,11,96,0,23,3,28,0,25,0,26,3,11,0,16,4,27,4,34,6,32,6,42,0,20,0,20,3,12,3,14,9,147,20,174
ILOC10200801,0,27,0,28,0,14,0,14,0,15,3,20,0,13,4,18,4,20,3,22,0,7,0,7,0,11,0,11,5,100,13,116,0,21,3,20,3,14,3,14,0,12,0,15,0,13,0,17,3,14,0,22,3,10,0,14,0,15,0,15,11,101,8,121,0,47,3,49,3,25,3,31,0,30,6,38,0,28,3,31,10,35,3,42,3,22,0,25,0,27,0,27,18,207,16,241
ILOC10200802,0,9,3,13,0,10,0,10,3,20,0,19,0,11,0,18,0,13,0,15,5,11,0,18,0,8,0,11,14,82,3,95,0,5,0,7,0,5,0,4,4,15,0,18,3,14,0,12,0,10,0,18,3,7,0,13,3,3,0,8,13,66,4,85,0,17,5,22,0,14,0,12,3,31,0,39,3,26,0,26,4,24,0,26,9,24,0,27,4,11,0,19,28,144,6,180
ILOC10200803,0,3,3,3,0,0,0,0,0,3,0,8,0,4,0,3,0,3,0,9,0,7,3,4,0,3,0,3,4,25,8,34,0,4,0,4,0,3,0,3,0,0,0,0,0,6,0,7,0,10,0,12,3,0,0,0,0,0,0,0,6,27,3,32,0,13,3,10,0,6,0,6,0,4,0,10,4,6,0,11,0,15,0,14,3,4,3,12,0,3,0,4,9,56,6,69
ILOC10200804,0,9,4,14,0,10,0,10,3,11,0,9,0,9,0,10,0,9,0,9,0,3,0,3,0,3,0,4,3,42,7,55,0,10,0,10,3,11,0,14,3,12,0,13,7,16,0,20,3,5,0,9,0,5,0,6,0,4,0,4,13,61,3,75,0,14,5,20,3,20,0,19,3,16,0,24,4,19,3,29,3,18,0,21,0,9,0,9,0,10,0,11,21,102,9,128
ILOC10200901,4,49,3,54,6,43,3,52,4,50,0,62,5,37,0,39,6,38,3,44,3,17,4,23,0,17,3,19,25,250,14,295,4,38,3,44,4,33,3,43,11,57,4,68,4,40,0,47,12,52,5,66,3,21,3,30,4,13,0,13,47,251,18,312,7,82,11,101,12,74,3,92,14,105,4,129,9,76,0,91,14,85,9,111,6,41,6,53,4,25,3,29,70,496,36,604
ILOC10200902,0,11,0,12,0,11,3,17,4,20,11,34,3,4,7,17,3,15,12,28,3,3,0,6,0,6,0,10,13,71,34,118,0,8,0,14,0,10,3,17,3,19,0,21,6,15,0,15,3,16,0,21,3,5,0,12,0,7,0,8,17,81,3,100,0,21,5,25,0,20,5,27,3,37,11,56,9,24,7,35,6,32,12,48,9,9,0,15,3,16,0,16,32,154,43,224
ILOC10201001,0,29,5,36,3,23,3,30,5,26,4,39,3,24,3,32,3,18,3,24,3,25,0,27,0,5,3,11,21,161,21,197,0,16,3,19,3,23,3,28,6,50,3,60,11,21,3,30,4,24,0,31,6,23,3,30,0,22,6,26,31,187,26,238,5,41,12,57,3,47,9,60,16,79,8,100,10,44,11,69,12,47,3,59,6,49,4,58,0,25,9,38,51,340,46,439
ILOC10201002,3,26,0,28,0,22,0,24,0,18,0,21,3,23,0,25,3,15,3,22,3,32,4,36,0,15,4,19,16,148,13,172,3,18,8,32,0,19,0,20,7,24,0,32,9,27,3,40,3,27,3,31,0,19,0,23,0,4,0,12,26,140,15,182,7,50,10,56,3,35,0,42,6,40,4,45,11,45,4,66,4,44,5,56,3,47,4,57,0,23,4,31,41,285,28,351
ILOC10201003,0,16,0,16,0,12,0,15,3,17,3,19,0,13,0,14,3,19,0,23,3,8,0,11,0,4,0,4,11,85,3,100,0,14,0,16,0,8,3,12,4,23,0,27,0,9,0,6,3,18,3,24,3,9,0,15,0,12,0,12,15,93,5,107,0,34,0,31,0,14,6,18,6,33,5,44,3,21,0,23,8,36,3,50,7,16,0,24,0,13,0,13,17,175,12,207
ILOC10201101,11,190,35,234,26,141,16,180,15,255,35,303,23,143,25,198,18,164,23,201,18,101,16,140,9,71,12,92,121,1064,171,1356,12,216,18,247,25,171,18,215,43,255,18,306,53,180,14,243,44,162,13,219,44,108,15,161,9,82,20,118,228,1174,114,1510,22,407,52,480,47,313,37,401,52,507,54,615,74,319,38,440,66,326,33,421,64,208,33,306,18,157,33,213,343,2236,288,2864
ILOC10201102,9,51,18,79,6,23,0,29,6,58,5,74,9,53,3,70,11,58,3,72,3,47,7,65,3,41,7,54,45,337,46,429,7,63,13,75,5,30,5,38,13,54,0,66,15,57,5,78,16,57,5,74,20,43,5,68,4,35,4,39,79,337,30,440,15,117,23,152,8,47,5,60,18,112,5,135,25,118,6,148,28,112,4,145,23,94,15,126,11,75,8,99,124,675,73,870
ILOC10201201,0,9,0,9,0,0,0,0,0,3,0,3,0,9,0,9,0,6,0,7,0,5,0,6,0,0,0,0,0,26,0,28,0,7,0,7,3,0,0,3,5,3,0,5,5,4,0,11,0,0,0,0,0,5,0,7,0,4,0,4,13,21,0,34,0,13,0,10,3,0,0,3,5,8,0,8,5,8,0,18,0,6,0,9,3,5,0,9,0,3,0,3,14,46,0,60
ILOC10201202,0,7,3,18,0,6,0,5,0,13,0,11,0,14,0,18,7,6,0,18,3,9,0,15,3,6,0,9,15,67,7,89,0,8,3,13,0,10,3,10,3,13,3,14,5,17,0,20,3,15,0,24,5,12,0,18,0,9,0,6,16,75,10,103,4,19,4,28,0,13,3,20,3,24,3,30,9,27,0,35,13,22,3,33,5,23,0,29,3,9,0,15,30,138,16,191
ILOC10201301,0,41,3,45,0,29,0,32,3,34,0,36,3,25,3,29,4,31,3,38,0,25,0,30,0,14,0,14,9,199,14,222,0,32,0,35,4,13,0,22,7,27,0,40,14,39,3,56,11,25,0,39,4,18,4,21,4,13,0,20,46,180,10,230,4,71,8,84,4,42,3,50,11,58,0,71,16,63,5,79,13,61,3,84,4,45,3,49,3,27,0,33,55,374,22,453
ILOC10201401,4,9,0,15,0,8,0,14,0,19,0,19,5,20,0,29,3,16,0,19,3,17,0,18,0,8,0,10,16,96,3,121,3,15,3,25,0,4,0,8,3,9,0,13,10,13,0,19,11,21,0,25,8,13,0,20,0,8,5,17,32,86,12,126,4,26,7,42,3,19,0,18,6,29,0,35,12,35,0,48,10,34,0,42,11,26,3,39,3,18,8,29,47,184,18,250
ILOC10201402,0,7,4,14,0,8,0,11,0,9,0,8,0,6,0,11,0,10,3,11,4,6,0,13,0,7,3,12,9,59,11,73,0,6,0,4,0,3,0,6,0,4,0,7,4,7,3,16,0,4,0,8,0,3,0,4,0,7,3,9,13,35,8,55,0,6,5,13,0,14,0,15,0,14,0,18,5,18,6,27,0,11,3,18,5,9,0,16,0,17,8,18,14,91,22,131
ILOC10300101,0,13,10,22,0,21,0,25,4,35,5,44,0,20,3,22,3,40,0,42,4,24,0,25,0,17,4,24,21,165,22,203,0,23,9,37,3,19,3,25,13,30,3,43,10,38,5,50,13,37,4,48,7,20,3,31,5,15,9,24,44,185,37,261,6,35,20,58,3,38,4,45,16,64,6,83,14,53,4,74,15,75,4,88,10,51,3,59,4,31,9,50,61,352,50,463
ILOC10300102,0,3,0,3,0,8,0,8,0,6,0,7,3,6,3,11,0,6,4,10,0,0,0,0,0,3,0,4,6,35,4,46,0,4,0,4,0,8,0,10,0,11,0,11,0,6,0,6,0,13,0,11,0,3,0,3,0,4,0,4,0,46,0,50,0,4,0,4,0,16,0,15,0,14,0,15,3,18,3,24,3,20,0,25,0,3,0,3,0,8,0,10,5,81,6,93
ILOC10300201,0,20,5,22,0,7,27,38,0,18,13,38,3,20,3,23,6,36,5,42,4,23,3,28,3,18,0,16,21,135,57,216,0,14,6,14,0,15,0,20,0,32,0,37,9,14,3,22,11,33,0,48,9,22,7,33,0,23,3,22,27,157,21,202,3,30,12,43,0,29,28,56,3,47,13,68,6,33,6,50,21,66,3,92,13,41,6,60,3,41,3,46,49,294,70,411
ILOC10300202,0,3,0,7,3,6,0,9,0,25,0,23,0,18,0,20,5,14,0,19,0,18,0,18,0,9,0,9,8,87,6,100,4,10,3,16,3,11,0,15,7,15,0,22,0,6,0,12,3,15,0,18,0,13,0,13,0,3,0,5,19,84,3,107,3,15,3,23,5,20,0,24,7,40,0,50,0,30,0,34,8,25,3,43,0,34,0,34,0,8,0,9,24,169,11,204
