ILOC_CODE_2016,H_w_In_ps_OO_DS_SH,H_w_In_ps_OO_DS_SDRTHT,H_w_In_ps_OO_DS_FA,H_w_In_ps_OO_DS_OD_C,H_w_In_ps_OO_DS_OD_CH,H_w_In_ps_OO_DS_OD_IH_t_SO,H_w_In_ps_OO_OD_HF_a_SO,H_w_In_ps_OO_DS_OD_Tot,H_w_In_ps_OO_DS_NS,H_w_In_ps_OO_Tot,H_w_In_ps_M_DS_SH,H_w_In_ps_M_DS_SDRTHT,H_w_In_ps_M_DS_FA,H_w_In_ps_M_DS_OD_C,H_w_In_ps_M_DS_OD_CH,H_w_In_ps_M_DS_OD_IH_t_SO,H_w_In_ps_M_OD_HF_a_SO,H_w_In_ps_M_DS_OD_Tot,H_w_In_ps_M_DS_NS,H_w_In_ps_M_Tot,H_w_In_ps_RREA_DS_SH,H_w_In_ps_RREA_DS_SDRTHT,H_w_In_ps_RREA_DS_FA,H_w_In_ps_RREA_DS_OD_C,H_w_In_ps_RREA_DS_OD_CH,H_w_In_ps_RREA_DS_OD_IH_t_SO,H_w_In_ps_RREA_OD_HF_a_SO,H_w_In_ps_RREA_DS_OD_Tot,H_w_In_ps_RREA_DS_NS,H_w_In_ps_RREA_Tot,H_w_In_ps_RHA_DS_SH,H_w_In_ps_RHA_DS_SDRTHT,H_w_In_ps_RHA_DS_FA,H_w_In_ps_RHA_DS_OD_C,H_w_In_ps_RHA_DS_OD_CH,H_w_In_ps_RHA_DS_OD_IH_t_SO,H_w_In_ps_RHA_OD_HF_a_SO,H_w_In_ps_RHA_DS_OD_Tot,H_w_In_ps_RHA_DS_NS,H_w_In_ps_RHA_Tot,H_w_In_ps_R_PSH_DS_SH,H_w_In_ps_R_PSH_DS_SDRTHT,H_w_In_ps_R_PSH_DS_FA,H_w_In_ps_R_PSH_DS_OD_C,H_w_In_ps_R_PSH_DS_OD_CH,H_w_In_ps_R_PSH_DS_OD_IH_t_SO,H_w_In_ps_R_PSH_OD_HF_a_SO,H_w_In_ps_R_PSH_DS_OD_Tot,H_w_In_ps_R_PSH_DS_NS,H_w_In_ps_R_PSH_Tot,H_w_In_ps_R_HCC_DS_SH,H_w_In_ps_R_HCC_DS_SDRTHT,H_w_In_ps_R_HCC_DS_FA,H_w_In_ps_R_HCC_DS_OD_C,H_w_In_ps_R_HCC_DS_OD_CH,H_w_In_ps_R_HCC_DS_OD_IH_t_SO,H_w_In_ps_R_HCC_OD_HF_a_SO,H_w_In_ps_R_HCC_DS_OD_Tot,H_w_In_ps_R_HCC_DS_NS,H_w_In_ps_R_HCC_Tot,H_w_In_ps_R_OLT_DS_SH,H_w_In_ps_R_OLT_DS_SDRTHT,H_w_In_ps_R_OLT_DS_FA,H_w_In_ps_R_OLT_DS_OD_C,H_w_In_ps_R_OLT_DS_OD_CH,H_w_In_ps_R_OLT_DS_OD_IH_t_SO,H_w_In_ps_R_OLT_OD_HF_a_SO,H_w_In_ps_R_OLT_DS_OD_Tot,H_w_In_ps_R_OLT_DS_NS,H_w_In_ps_R_OLT_Tot,H_w_In_ps_R_LNS_DS_SH,H_w_In_ps_R_LNS_DS_SDRTHT,H_w_In_ps_R_LNS_DS_FA,H_w_In_ps_R_LNS_DS_OD_C,H_w_In_ps_R_LNS_DS_OD_CH,H_w_In_ps_R_LNS_DS_OD_IH_t_SO,H_w_In_ps_R_LNS_OD_HF_a_SO,H_w_In_ps_R_LNS_DS_OD_Tot,H_w_In_ps_R_LNS_DS_NS,H_w_In_ps_R_LNS_Tot,H_w_In_ps_R_Tot_DS_SH,H_w_In_ps_R_Tot_DS_SDRTHT,H_w_In_ps_R_Tot_DS_FA,H_w_In_ps_R_Tot_DS_OD_C,H_w_In_ps_R_Tot_DS_OD_CH,H_w_In_ps_R_Tot_DS_OD_IH_t_SO,H_w_In_ps_R_Tot_OD_HF_a_SO,H_w_In_ps_R_Tot_DS_OD_Tot,H_w_In_ps_R_Tot_DS_NS,H_w_In_ps_R_Tot_Tot,H_w_In_ps_OTT_DS_SH,H_w_In_ps_OTT_DS_SDRTHT,H_w_In_ps_OTT_DS_FA,H_w_In_ps_OTT_DS_OD_C,H_w_In_ps_OTT_DS_OD_CH,H_w_In_ps_OTT_DS_OD_IH_t_SO,H_w_In_ps_OTT_OD_HF_a_SO,H_w_In_ps_OTT_DS_OD_Tot,H_w_In_ps_OTT_DS_NS,H_w_In_ps_OTT_Tot,H_w_In_ps_T_NS_DS_SH,H_w_In_ps_T_NS_DS_SDRTHT,H_w_In_ps_T_NS_DS_FA,H_w_In_ps_T_NS_DS_OD_C,H_w_In_ps_T_NS_DS_OD_CH,H_w_In_ps_T_NS_DS_OD_IH_t_SO,H_w_In_ps_T_NS_OD_HF_a_SO,H_w_In_ps_T_NS_DS_OD_Tot,H_w_In_ps_T_NS_DS_NS,H_w_In_ps_T_NS_Tot,H_w_In_ps_Tot_DS_SH,H_w_In_ps_Tot_DS_SDRTHT,H_w_In_ps_Tot_DS_FA,H_w_In_ps_Tot_DS_OD_C,H_w_In_ps_Tot_DS_OD_CH,H_w_In_ps_Tot_DS_OD_IH_t_SO,H_w_In_ps_Tot_OD_HF_a_SO,H_w_In_ps_Tot_DS_OD_Tot,H_w_In_ps_Tot_DS_NS,H_w_In_ps_Tot_Tot,OH_OO_DS_SH,OH_OO_DS_SDRTHT,OH_OO_DS_FA,OH_OO_DS_OD_C,OH_OO_DS_OD_CH,OH_OO_DS_OD_IH_t_SO,OH_OO_OD_HF_a_SO,OH_OO_DS_OD_Tot,OH_OO_DS_NS,OH_OO_DS_Tot,OH_M_DS_SH,OH_M_DS_SDRTHT,OH_M_DS_FA,OH_M_DS_OD_C,OH_M_DS_OD_CH,OH_M_DS_OD_IH_t_SO,OH_M_OD_HF_a_SO,OH_M_DS_OD_Tot,OH_M_DS_NS,OH_M_DS_Tot,OH_RREA_DS_SH,OH_RREA_DS_SDRTHT,OH_RREA_DS_FA,OH_RREA_DS_OD_C,OH_RREA_DS_OD_CH,OH_RREA_DS_OD_IH_t_SO,OH_RREA_OD_HF_a_SO,OH_RREA_DS_OD_Tot,OH_RREA_DS_NS,OH_RREA_DS_Tot,OH_RHA_DS_SH,OH_RHA_DS_SDRTHT,OH_RHA_DS_FA,OH_RHA_DS_OD_C,OH_RHA_DS_OD_CH,OH_RHA_DS_OD_IH_t_SO,OH_RHA_OD_HF_a_SO,OH_RHA_DS_OD_Tot,OH_RHA_DS_NS,OH_RHA_DS_Tot,OH_R_PSH_DS_SH,OH_R_PSH_DS_SDRTHT,OH_R_PSH_DS_FA,OH_R_PSH_DS_OD_C,OH_R_PSH_DS_OD_CH,OH_R_PSH_DS_OD_IH_t_SO,OH_R_PSH_OD_HF_a_SO,OH_R_PSH_DS_OD_Tot,OH_R_PSH_DS_NS,OH_R_PSH_DS_Tot,OH_R_HCC_DS_SH,OH_R_HCC_DS_SDRTHT,OH_R_HCC_DS_FA,OH_R_HCC_DS_OD_C,OH_R_HCC_DS_OD_CH,OH_R_HCC_DS_OD_IH_t_SO,OH_R_HCC_OD_HF_a_SO,OH_R_HCC_DS_OD_Tot,OH_R_HCC_DS_NS,OH_R_HCC_DS_Tot,OH_R_OLT_DS_SH,OH_R_OLT_DS_SDRTHT,OH_R_OLT_DS_FA,OH_R_OLT_DS_OD_C,OH_R_OLT_DS_OD_CH,OH_R_OLT_DS_OD_IH_t_SO,OH_R_OLT_OD_HF_a_SO,OH_R_OLT_DS_OD_Tot,OH_R_OLT_DS_NS,OH_R_OLT_DS_Tot,OH_R_LNS_DS_SH,OH_R_LNS_DS_SDRTHT,OH_R_LNS_DS_FA,OH_R_LNS_DS_OD_C,OH_R_LNS_DS_OD_CH,OH_R_LNS_DS_OD_IH_t_SO,OH_R_LNS_OD_HF_a_SO,OH_R_LNS_DS_OD_Tot,OH_R_LNS_DS_NS,OH_R_LNS_DS_Tot
ILOC10700804,46,3,9,0,0,0,0,0,0,57,59,13,20,0,0,0,0,0,0,96,61,10,87,0,0,0,3,3,0,166,29,30,26,0,0,0,0,0,0,83,14,3,9,0,0,0,0,0,0,31,3,9,6,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,7,111,58,135,0,0,0,3,3,0,308,3,0,0,0,0,0,0,0,0,8,14,5,7,0,0,0,0,0,0,19,234,77,170,0,0,0,3,3,0,490,10293,1127,2133,0,0,0,51,50,17,13619,7496,1842,3442,0,0,0,42,46,25,12856,2484,1109,9573,0,0,0,143,149,57,13362,401,668,1677,0,0,0,5,5,0,2747,972,269,1154,0,0,0,35,35,20,2448,64,109,180,0,0,0,0,0,0,352,155,41,209,0,0,0,12,12,7,424,122,39,112,0,0,0,3,3,7,278
ILOC10700901,64,0,3,0,0,0,0,0,0,68,59,3,0,0,0,0,0,0,0,62,110,6,20,0,0,0,0,3,0,135,61,37,18,0,0,0,0,0,0,115,24,3,3,0,0,0,0,0,0,28,0,0,3,0,0,0,0,0,0,9,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,197,46,52,3,0,0,3,5,0,297,10,0,0,0,0,0,0,0,0,8,19,0,4,0,0,0,0,0,0,19,347,51,55,3,0,0,3,5,3,462,8513,830,960,21,0,0,48,72,9,10387,6934,1416,1098,3,0,3,47,53,13,9517,3519,1388,3526,0,3,13,84,100,75,8611,872,1126,910,0,0,0,11,11,11,2925,1423,321,458,5,0,5,24,33,26,2264,69,110,145,0,0,0,3,9,3,335,320,82,127,37,0,4,7,46,7,576,128,33,64,0,0,0,3,4,3,227
ILOC10700902,46,0,0,0,0,0,0,0,0,44,37,0,0,0,0,0,3,3,0,44,47,0,0,0,0,0,0,0,0,54,42,18,0,0,0,0,0,0,0,64,9,3,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,105,21,7,0,0,0,0,0,0,137,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,7,199,28,7,0,0,0,4,4,0,234,7809,233,13,0,0,0,32,34,10,8089,6573,401,22,0,0,0,27,32,17,7033,1861,301,44,0,0,4,23,22,25,2259,615,604,30,0,0,0,0,0,0,1245,682,72,21,0,0,0,8,4,6,789,58,44,0,0,0,0,0,0,0,107,180,19,3,0,0,0,3,3,0,207,57,3,3,0,0,0,0,0,0,64
ILOC10701001,65,0,0,0,0,0,0,0,0,65,174,0,0,0,0,0,0,0,0,174,42,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,3,66,0,0,0,0,0,0,3,0,76,4,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,8,315,0,0,0,0,0,0,3,0,318,2717,3,7,9,0,0,3,10,27,2764,3747,0,0,0,0,3,10,13,21,3776,431,4,16,0,0,0,0,0,4,449,3,0,0,0,0,0,0,0,0,4,266,3,5,4,0,0,0,4,8,289,3,6,0,0,0,0,0,0,0,10,33,3,0,30,7,0,0,41,7,81,41,0,0,0,0,3,0,3,4,52
ILOC10701002,28,0,0,0,0,0,0,0,0,30,60,5,0,0,0,0,0,0,0,66,62,17,5,0,0,0,0,0,0,83,36,8,0,0,0,0,0,0,0,41,11,4,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,107,29,7,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,201,37,13,0,0,0,0,0,3,257,1055,266,66,0,0,0,0,0,0,1386,1088,162,28,0,0,0,0,0,3,1285,538,383,158,0,0,0,4,4,9,1086,107,65,8,0,0,0,0,0,0,177,144,40,25,0,0,0,0,0,3,201,9,10,7,0,0,0,0,0,0,24,35,19,0,0,0,0,0,0,0,57,15,6,0,0,0,0,0,0,0,21
ILOC10701003,55,4,0,0,0,0,0,0,0,57,147,15,0,0,0,0,0,0,0,164,85,32,3,0,0,0,0,0,3,123,72,19,0,0,0,0,0,0,0,95,17,6,0,0,0,0,0,0,0,22,10,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,188,59,3,0,0,0,0,0,3,254,0,0,0,0,0,0,0,0,0,3,8,4,0,0,0,0,0,0,0,11,402,82,5,0,0,0,0,0,4,488,1981,167,8,0,20,0,0,24,12,2192,3067,219,17,0,0,5,0,8,16,3323,804,391,77,0,0,0,10,15,17,1303,248,140,0,0,0,0,0,0,3,391,254,55,12,0,0,0,0,3,3,326,34,19,0,0,0,0,0,0,0,57,96,7,0,8,8,0,0,15,0,122,31,3,0,0,0,0,0,0,0,36
ILOC10701101,68,7,0,0,0,0,0,0,0,78,89,6,5,0,0,0,0,0,0,100,93,27,31,0,0,0,0,0,0,146,41,20,39,0,0,0,0,0,0,97,22,7,0,0,0,0,0,0,0,34,5,3,4,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,163,56,76,0,0,0,0,0,0,299,4,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,0,0,0,10,326,74,82,0,0,0,0,0,0,491,7310,1009,631,0,0,3,23,23,20,8994,6835,2275,1701,0,0,0,36,45,41,10894,2637,1498,4192,3,0,3,50,53,48,8430,419,618,1001,0,0,0,0,0,7,2040,888,276,429,0,0,3,12,13,19,1627,47,129,131,0,0,0,0,0,0,304,144,37,45,0,0,0,3,4,4,231,83,36,39,0,0,0,3,3,0,154
ILOC10701201,85,3,9,0,0,0,0,0,0,99,129,6,14,0,0,0,0,0,0,147,67,15,39,0,0,0,0,0,0,117,5,11,10,0,0,0,0,0,0,28,29,0,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,9,3,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,112,22,53,0,0,0,0,0,0,193,5,0,0,0,0,0,0,0,0,4,8,0,3,0,0,0,0,0,0,12,342,35,83,0,0,0,0,0,0,458,29119,2221,3876,9,30,0,11,51,52,35320,28867,1734,4498,3,3,0,13,19,43,35164,5291,1106,6842,3,0,0,38,37,64,13338,105,205,341,0,0,0,0,0,0,647,1901,238,1166,0,0,0,13,15,41,3365,101,83,410,0,0,0,0,0,11,592,188,42,113,4,10,0,9,21,10,377,195,24,85,0,0,0,4,5,3,312
ILOC10701301,40,4,4,0,0,0,0,0,0,49,38,12,14,0,0,0,0,0,0,57,26,12,42,0,0,0,0,0,0,80,13,12,6,0,0,0,0,0,0,29,15,3,8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,53,30,56,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,138,45,68,0,0,0,0,0,0,254,9948,1942,1873,8,3,0,10,15,36,13814,8224,2102,3139,0,0,0,13,13,34,13514,2071,1831,7798,0,0,0,63,67,51,11820,204,558,824,0,0,0,0,0,0,1588,952,406,1167,0,0,0,16,16,15,2556,34,152,132,0,0,0,0,0,14,323,83,111,86,0,0,0,7,7,11,297,93,38,49,0,0,0,0,0,0,182
ILOC10701401,40,0,4,0,0,0,0,0,0,46,39,9,13,0,0,0,0,0,0,59,44,13,28,0,0,0,0,0,0,84,24,17,15,0,0,0,0,0,0,56,5,0,0,0,0,0,0,0,0,11,3,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,27,43,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,168,41,59,0,0,0,0,0,0,270,7088,1306,1198,0,0,0,15,16,10,9618,5399,1237,2105,0,0,0,19,19,19,8780,1474,664,3995,0,0,0,71,76,33,6236,262,402,347,0,0,0,0,0,4,1010,504,131,695,0,0,0,31,33,10,1369,30,53,52,0,0,0,0,0,0,132,62,42,57,0,0,0,3,3,0,158,56,14,32,0,0,0,0,0,0,112
ILOC10701402,30,0,7,0,0,0,0,0,0,42,17,4,3,0,0,0,0,0,0,26,24,4,27,0,0,0,0,0,0,61,3,3,4,0,0,0,0,0,0,8,5,0,4,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,34,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,90,11,47,0,0,0,3,3,0,152,5121,563,1260,0,4,0,14,14,17,6974,3845,539,1745,0,0,0,11,11,5,6147,915,309,3439,0,0,0,62,62,12,4735,23,44,137,0,0,0,0,0,0,200,347,91,559,0,0,0,11,14,9,1017,23,16,27,0,0,0,0,0,0,65,29,16,43,0,0,0,5,5,0,100,37,7,32,0,0,0,3,3,0,81
ILOC10701501,33,0,0,0,0,0,0,0,0,36,69,6,0,3,0,0,0,3,0,78,24,6,7,0,0,0,0,0,0,42,3,3,0,0,0,0,0,0,0,10,11,0,3,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,9,10,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,159,24,18,3,0,0,0,3,0,196,2917,348,194,12,0,0,3,19,36,3515,2035,222,47,3,0,0,0,3,3,2306,467,219,149,0,0,0,8,8,5,846,28,13,17,0,0,0,0,0,0,63,254,47,39,0,0,0,4,9,3,353,4,0,30,0,0,0,0,0,0,37,28,0,7,4,0,0,5,11,5,49,27,4,9,0,0,0,0,0,0,33
ILOC10701502,139,14,0,0,7,0,0,7,0,159,361,18,3,0,0,0,0,0,0,385,172,47,29,0,0,0,0,0,0,248,193,29,15,0,0,0,0,0,0,232,52,10,4,0,0,0,0,0,0,75,19,7,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,8,443,100,48,0,0,0,0,3,0,588,3,0,0,0,0,0,0,0,0,4,39,9,0,0,0,0,0,0,0,44,983,136,54,3,8,0,0,8,5,1182,6795,769,123,33,192,0,11,232,32,7948,7342,634,99,3,10,0,5,14,19,8111,1770,918,417,0,0,0,13,13,11,3134,866,389,121,0,0,0,0,0,4,1380,654,198,75,0,0,0,14,20,6,946,17,37,5,0,0,0,0,0,3,62,53,17,4,10,24,0,0,36,3,111,40,18,9,0,0,0,0,0,0,69
ILOC10701601,6,18,0,0,0,0,0,0,0,28,14,34,0,0,0,0,0,0,0,53,10,45,48,0,0,0,0,0,0,99,11,40,45,0,0,0,0,0,0,98,4,3,4,0,0,0,0,0,0,9,5,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,22,90,101,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,9,55,152,112,0,0,0,0,0,0,320,1293,3488,720,0,0,0,19,23,28,5553,1414,4317,991,0,0,0,33,35,27,6780,580,2399,2895,0,0,0,93,94,38,6006,23,249,540,0,0,0,0,0,3,816,131,588,437,0,0,0,49,49,23,1234,3,11,71,0,0,0,0,0,0,93,5,42,31,0,0,0,3,3,3,96,6,34,43,0,0,0,3,3,0,93
ILOC10701701,109,0,3,0,0,0,0,0,0,111,147,12,5,0,0,0,0,0,0,166,138,23,51,0,0,0,0,0,0,212,209,54,55,0,0,0,0,0,0,322,27,9,4,0,0,0,0,0,0,39,0,5,8,0,0,0,0,0,0,18,18,5,5,0,0,0,0,0,0,24,3,0,3,0,0,0,0,0,0,9,405,94,124,0,0,0,0,0,0,619,8,3,0,0,0,0,0,0,0,12,26,3,6,0,0,0,0,0,0,39,691,110,146,0,0,0,3,3,3,952,7093,506,633,0,0,0,5,5,6,8243,9041,1292,1185,0,0,0,23,18,21,11563,2819,1214,3559,0,0,0,23,25,24,7640,1423,775,1266,0,0,0,0,0,22,3491,807,151,304,0,0,0,0,0,10,1275,50,86,132,0,0,0,0,0,3,276,507,74,78,0,0,0,0,0,5,662,92,20,53,0,0,0,0,0,7,160
ILOC10701702,37,3,0,0,0,0,0,0,0,43,102,8,0,0,0,0,0,0,0,110,86,5,0,0,0,0,0,0,3,92,36,15,0,0,0,0,0,0,0,55,25,6,0,0,0,0,0,0,0,30,12,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,161,25,0,0,0,0,0,0,5,191,4,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,12,317,39,0,0,0,0,0,0,5,360,5265,212,0,0,0,0,3,6,9,5487,10765,694,12,0,0,0,7,6,23,11504,2401,485,15,0,0,0,10,7,8,2917,151,121,0,0,0,0,0,0,0,274,755,83,3,0,0,0,0,0,8,849,35,5,0,0,0,0,0,0,0,38,186,20,0,0,0,0,0,0,9,211,93,7,0,0,0,0,0,0,4,104
ILOC10701801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,48,0,0,0,0,0,0,0,0,48,29,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,7
ILOC10701901,31,20,13,0,0,0,0,0,0,58,44,34,29,0,0,0,0,0,0,103,24,60,110,0,0,0,13,13,0,209,51,27,45,0,0,0,0,0,0,130,13,10,15,0,0,0,0,0,0,42,18,5,10,0,0,0,0,0,0,36,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,110,110,182,0,0,0,14,14,0,424,0,3,3,0,0,0,0,0,0,4,9,6,7,0,0,0,0,0,0,25,187,173,234,0,0,0,17,17,4,612,3405,2366,1208,0,0,0,63,63,19,7067,2790,3439,2497,0,0,0,65,67,24,8815,1084,2232,6893,0,0,4,378,385,87,10684,56,105,591,0,0,0,0,0,0,750,439,590,989,0,0,0,122,117,34,2164,42,55,148,0,0,0,4,4,3,250,25,32,58,0,0,0,15,15,3,130,35,20,69,0,0,0,8,8,0,137
ILOC10702001,94,9,22,0,0,0,0,0,0,117,125,13,47,0,0,0,0,0,0,184,40,9,81,0,0,0,0,0,0,130,10,8,9,0,0,0,0,0,0,26,23,0,10,0,0,0,0,0,3,40,3,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,3,0,9,3,0,0,0,0,0,0,0,0,4,76,24,109,0,0,0,3,3,3,212,0,3,0,0,0,0,0,0,0,4,14,0,10,0,0,7,0,7,0,31,309,43,185,0,0,7,3,7,3,553,14900,1998,4870,3,13,0,14,36,36,21836,15757,1436,6033,0,0,0,26,30,35,23294,2730,872,9701,0,0,0,67,64,62,13422,177,369,477,0,0,0,0,0,0,1032,1172,336,2050,0,0,3,46,53,53,3659,36,122,250,0,0,0,0,0,0,412,77,82,102,0,10,0,3,15,3,287,96,36,121,0,0,0,0,0,6,264
ILOC10702002,39,0,0,0,0,0,0,0,0,42,72,4,7,0,0,0,0,0,0,83,20,0,10,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,13,0,0,0,0,3,0,55,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,11,150,6,29,0,5,0,3,6,0,195,6265,820,1105,0,78,0,21,96,29,8318,6223,596,805,0,3,0,16,23,15,7657,993,234,947,0,0,3,37,41,40,2254,3,0,8,0,0,0,0,0,0,9,542,114,275,0,3,0,10,15,19,977,10,28,23,0,0,0,0,0,0,62,29,16,14,0,8,0,0,8,5,69,41,7,10,0,3,0,0,3,3,71
ILOC10702101,5,0,0,0,0,0,0,0,0,3,11,0,8,0,0,0,0,0,0,23,12,6,58,0,0,0,0,0,0,79,7,5,24,0,0,0,0,0,0,41,5,0,10,0,0,0,0,0,0,12,3,0,3,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,5,26,19,98,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,38,28,118,0,0,0,0,0,0,179,920,238,1146,0,0,0,11,11,10,2321,788,532,2701,0,0,0,36,36,11,4069,498,557,8721,0,0,0,90,90,47,9917,142,157,634,0,0,0,0,0,0,939,229,133,1075,0,0,0,27,27,10,1474,14,49,153,0,0,0,0,0,0,212,31,112,88,0,0,0,0,0,0,229,13,4,57,0,0,0,3,3,0,86
ILOC10702102,18,0,0,0,0,0,0,0,0,15,14,3,3,0,0,0,0,0,0,21,18,13,13,0,0,0,0,0,0,42,48,12,13,0,0,0,0,0,0,79,7,0,3,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,75,33,33,0,0,0,0,0,0,143,5,0,4,0,0,0,0,0,0,9,11,3,0,0,0,0,0,0,0,16,117,39,38,0,0,0,0,0,0,196,3662,851,384,0,0,0,0,5,7,4907,3409,1895,622,0,0,0,8,4,17,5950,1164,1145,1143,0,0,0,24,21,24,3498,626,455,549,0,0,0,0,3,0,1634,395,232,170,0,0,0,8,8,4,811,14,40,134,0,0,0,0,0,3,197,128,139,16,0,0,0,0,0,4,293,39,16,12,0,0,0,0,0,0,60
ILOC10702103,34,0,0,0,0,0,0,0,0,34,58,0,0,0,0,0,0,0,0,63,29,9,0,0,0,0,0,0,0,39,14,30,0,0,0,0,0,0,0,45,11,0,3,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,39,5,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,157,43,4,0,0,0,0,0,0,200,3623,323,318,0,0,0,0,0,3,4274,3758,674,317,0,0,0,4,3,11,4768,972,575,731,0,0,0,0,3,13,2292,71,313,43,0,0,0,0,0,0,428,326,107,69,0,0,0,0,0,5,506,7,53,51,0,0,0,0,0,0,111,30,4,8,0,0,0,0,0,0,45,27,8,10,0,0,0,0,0,0,45
ILOC10702104,34,0,0,0,0,0,0,0,0,34,22,0,3,0,0,0,0,0,0,23,6,3,3,0,0,0,0,0,0,12,21,12,20,0,0,0,0,0,0,48,3,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,30,20,27,0,0,0,0,0,0,76,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,11,90,22,32,0,0,0,0,0,0,146,2372,131,152,0,0,0,8,10,4,2667,2272,470,512,0,0,0,12,12,4,3267,902,317,1098,0,0,0,7,7,21,2349,421,432,387,0,0,0,3,3,0,1249,512,76,162,0,0,0,3,3,12,761,21,86,66,0,0,0,0,0,0,176,127,24,27,0,0,0,8,8,0,185,36,15,12,0,0,0,0,0,3,70
